#: table_doi: 10.17182/hepdata.11903.v1/t6
#: name: Table 6
#: description: The NC reduced cross section and the electromagnetic structure funcion F2 derived from the data. For Q**2 > 2000 GeV**2 the extraction of F2 is restricted to Y < 0.6.

#: data_file: Table6.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: F2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Structure Function | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: E(P=1) [GeV],27.6
#: E(P=2) [GeV],920.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],319.0,,,,
Q**2 [GEV**2],X,Y,SIG(C=REDUCED),stat +,stat -,sys +,sys -
800.0,0.08,0.098,0.451,0.017,-0.017,0.014,-0.014
800.0,0.13,0.061,0.358,0.016,-0.016,0.015,-0.015
800.0,0.18,0.044,0.324,0.016,-0.016,0.015,-0.015
800.0,0.25,0.032,0.257,0.015,-0.015,0.023,-0.023
800.0,0.4,0.02,0.128,0.012,-0.012,0.015,-0.015
800.0,0.65,0.012,0.0186,0.0031,-0.0031,0.0031,-0.0031
-,-,-,-,0,0,0,0
1000.0,0.013,0.757,0.886,0.044,-0.044,0.035,-0.035
1000.0,0.02,0.492,0.745,0.029,-0.029,0.025,-0.025
1000.0,0.032,0.308,0.653,0.026,-0.026,0.026,-0.026
1000.0,0.05,0.197,0.556,0.023,-0.023,0.02,-0.02
1000.0,0.08,0.123,0.461,0.02,-0.02,0.014,-0.014
1000.0,0.13,0.076,0.412,0.021,-0.021,0.016,-0.016
1000.0,0.18,0.055,0.319,0.018,-0.018,0.012,-0.012
1000.0,0.25,0.039,0.263,0.017,-0.017,0.015,-0.015
1000.0,0.4,0.025,0.13,0.013,-0.013,0.012,-0.012
1000.0,0.65,0.015,0.0221,0.0039,-0.0039,0.0048,-0.0048
-,-,-,-,0,0,0,0
1200.0,0.02,0.591,0.777,0.037,-0.037,0.026,-0.026
1200.0,0.032,0.369,0.648,0.029,-0.029,0.019,-0.019
1200.0,0.05,0.236,0.476,0.023,-0.023,0.015,-0.015
1200.0,0.08,0.148,0.468,0.022,-0.022,0.015,-0.015
1200.0,0.13,0.091,0.422,0.024,-0.024,0.016,-0.016
1200.0,0.18,0.066,0.324,0.021,-0.021,0.011,-0.011
1200.0,0.25,0.047,0.268,0.019,-0.019,0.012,-0.012
1200.0,0.4,0.03,0.118,0.014,-0.014,0.015,-0.015
1200.0,0.65,0.018,0.0238,0.0047,-0.0047,0.0048,-0.0048
-,-,-,-,0,0,0,0
1500.0,0.02,0.738,0.728,0.047,-0.047,0.029,-0.029
1500.0,0.032,0.462,0.597,0.035,-0.035,0.021,-0.021
1500.0,0.05,0.295,0.585,0.03,-0.03,0.017,-0.017
1500.0,0.08,0.185,0.427,0.023,-0.023,0.012,-0.012
1500.0,0.13,0.114,0.344,0.023,-0.023,0.011,-0.011
1500.0,0.18,0.082,0.329,0.023,-0.023,0.015,-0.015
1500.0,0.25,0.059,0.226,0.018,-0.018,0.011,-0.011
1500.0,0.4,0.037,0.104,0.013,-0.013,0.01,-0.01
1500.0,0.65,0.023,0.0166,0.005,-0.005,0.0032,-0.0032
-,-,-,-,0,0,0,0
2000.0,0.032,0.615,0.642,0.041,-0.041,0.027,-0.027
2000.0,0.05,0.394,0.472,0.035,-0.035,0.019,-0.019
2000.0,0.08,0.246,0.405,0.027,-0.027,0.014,-0.014
2000.0,0.13,0.151,0.368,0.027,-0.027,0.015,-0.015
2000.0,0.18,0.109,0.342,0.028,-0.028,0.013,-0.013
2000.0,0.25,0.079,0.233,0.021,-0.021,0.011,-0.011
2000.0,0.4,0.049,0.108,0.013,-0.013,0.011,-0.011
2000.0,0.65,0.03,0.0294,0.0069,-0.0069,0.006,-0.006
-,-,-,-,0,0,0,0
3000.0,0.05,0.591,0.551,0.031,-0.031,0.021,-0.021
3000.0,0.08,0.369,0.439,0.027,-0.027,0.018,-0.018
3000.0,0.13,0.227,0.34,0.025,-0.025,0.013,-0.013
3000.0,0.18,0.164,0.313,0.024,-0.024,0.018,-0.018
3000.0,0.25,0.118,0.195,0.019,-0.019,0.009,-0.009
3000.0,0.4,0.074,0.108,0.012,-0.012,0.007,-0.007
3000.0,0.65,0.045,0.0118,0.0034,-0.0034,0.002,-0.002
-,-,-,-,0,0,0,0
5000.0,0.08,0.615,0.422,0.03,-0.03,0.018,-0.018
5000.0,0.13,0.379,0.339,0.028,-0.028,0.015,-0.015
5000.0,0.18,0.273,0.263,0.025,-0.025,0.012,-0.012
5000.0,0.25,0.197,0.301,0.029,-0.029,0.028,-0.028

#: E(P=1) [GeV],27.6
#: E(P=2) [GeV],920.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],319.0,,,,
Q**2 [GEV**2],X,Y,F2,stat +,stat -,sys +,sys -
100.0,0.00131,0.75,-,0,0,0,0
100.0,0.002,0.492,1.442,0.02,-0.02,0.039,-0.039
-,-,-,-,0,0,0,0
120.0,0.00158,0.75,-,0,0,0,0
120.0,0.002,0.591,1.418,0.021,-0.021,0.035,-0.035
120.0,0.0032,0.369,1.241,0.016,-0.016,0.027,-0.027
-,-,-,-,0,0,0,0
